year,avg_hrly_pay_1,avg_hrly_pay_2,avg_hrly_pay_3,avg_hrly_pay_4,avg_hrly_pay_5,avg_weekpay_1,avg_weekpay_2,avg_weekpay_3,avg_weekpay_4,avg_weekpay_5,avg_hrs_1,avg_hrs_2,avg_hrs_3,avg_hrs_4,avg_hrs_5,n_1,n_2,n_3,n_4,n_5,wgt_n_1,wgt_n_2,wgt_n_3,wgt_n_4,wgt_n_5,epop_1,epop_2,epop_3,epop_4,epop_5,cutoffs_1,cutoffs_2,cutoffs_3,cutoffs_4,cutoffs_5
2004,0,3.3545738659091793,13.09077925120931,20.95362103321698,43.31503605643495,0,121.28585476291441,512.1708181845706,884.2715370434349,1830.9529623751982,0,12.429396703133927,36.12837214895578,40.38579991951028,41.435489572287025,46360,47257,49894,47211,48093,33769591.84220505,34198788.55183283,34787504.53934733,32410122.57306544,33681647.48991903,0,0.4182585574877776,1,1,1,0,9.836486486486486,16.28108108108108,26.09144881995945,192.66796817264083
2005,0,3.6056428830341076,12.924905310018428,20.806815312156647,43.86520619489098,0,129.6371235449661,513.0961664722644,876.5661931628655,1856.3052850109466,0,13.437903023197387,36.47555127381717,40.309167985309344,41.559103725222144,46314,47764,46710,51189,46816,34209661.05692164,35359915.18550873,33224422.926670074,35308627.05852,32941627.741526287,0,0.4481959304131556,1,1,1,0,9.842279539909377,15.772581108774084,26.24607877309167,189.13580515859186
2006,0,4.209154477141978,13.218640374808949,20.683170271779332,43.68341302428119,0,151.70382660480968,527.9065302185438,870.2557038229247,1850.0650519784156,0,15.27988522805976,37.088042597522865,40.29317557314523,41.60003736610479,45976,50535,43195,48766,48172,34549356.322514854,37945163.09099325,31248778.17206319,34491164.46084086,34512283.50665537,0,0.5017730279129866,1,1,1,0,10.168804861580014,16.206532748143147,26.073663110752342,195.49527734296723
2007,0,3.8503893378933602,13.0866119350667,20.846359862961624,44.365443167844866,0,140.0493062028355,521.5054736874977,880.6052399746436,1872.7291894428663,0,14.030063624489108,36.90519157551883,40.42093143864744,41.569783027561364,45525,47466,45439,48205,47748,34992837.9582723,36631628.99710083,33779424.04477946,34613889.85241699,34946084.85122681,0,0.46699929236516385,1,1,1,0,9.888378200919238,16.06861457649376,26.575016414970452,197.42352809392543
2008,0,3.2668305619898237,12.7558424887531,20.628872852530797,44.299928347698085,0,117.41673430367223,505.8826500552086,867.5541628569381,1875.004861768175,0,12.091832755632582,36.29465410170669,40.03611533873555,41.51981790084785,45269,46160,46054,48622,47886,35318372.078211464,35909138.6489563,34740336.21070862,35309111.339777626,35311506.792037964,0,0.4095195295865205,1,1,1,0,9.522605121719886,16.093203200594477,26.187164084729687,198.3876127568073
2009,0,1.8287196270656585,12.221890965311001,20.557013678973842,45.11138757270987,0,65.27405329852287,461.6695938759467,850.5687974339913,1898.3442677972948,0,7.0312139961595905,33.996660295322314,39.1157386572843,40.75402899632879,45893,46870,47609,48886,48213,35667147.41241964,36439300.27561951,35994581.450286865,35177608.47549947,35052867.942993164,0,0.24672465197880383,1,1,1,0,8.95859771573604,15.528236040609137,26.278553299492383,199.07995531401696
2010,0,1.5685107615196088,11.800178960161956,19.98005681502894,44.95349530037859,0,57.38211047603451,442.1594092733511,830.0392876121765,1897.3775899725156,0,6.143553801009099,33.92422010684371,39.37812955880614,41.214727479573895,46075,47369,45487,50726,48345,36072358.53175354,37245047.39040629,34902836.91194153,36707105.03214518,35432296.43502299,0,0.21397841134710155,1,1,1,0,8.813202247191011,15.264466023177286,25.852059925093634,195.84894480330257
2011,0,1.4401051649350705,11.56237357920436,19.56598094581221,43.6136052916768,0,52.75015275260119,435.083498144676,821.3780123331628,1839.8153634358673,0,5.7031178508399245,33.995239512049984,39.723795650816776,41.31887880274779,45529,45897,47054,48055,48912,36345789.17664591,36793160.70691427,36838310.874181114,35404358.15275574,36342950.05352783,0,0.20330885242291077,1,1,1,0,8.543872919818456,14.809379727685325,25.14176969773468,189.86384845681738
2012,0,1.5539501395269704,11.407304876032548,19.530117736727142,44.75578183561214,0,56.683400185923425,431.3447874848663,823.3644308883818,1894.6961591533336,0,6.301911371650608,34.153006067291784,39.920032326497626,41.43876146788991,44488,44523,45325,49495,47960,36626514.37214152,36718264.07425436,36535066.86235555,37198481.5639089,36053377.078420006,0,0.21993030962275295,1,1,1,0,8.645555555555557,14.587747268676761,25.65777777777778,198.75156928168434
2013,0,2.0961907862638265,11.671513079370886,19.537625776345173,44.87918526461467,0,75.18971556484706,449.42231331327855,820.5315097118919,1906.1875193719584,0,7.863674343867166,34.95186661321133,39.92542225534029,41.653349824778395,44381,46675,42403,48312,48510,36867775.88078308,39110492.40918986,34676629.647135414,37001448.920283,36677831.67310587,0,0.2779972953705913,1,1,1,0,8.794160583941606,14.84014598540146,25.367580438878367,198.1434306569343
2014,0,2.011271946253823,11.798024353899196,19.728897623162503,44.62183954715247,0,74.25006343411603,457.56126182677855,834.0419452824686,1895.0909295070987,0,7.807474697382954,35.17592532432374,40.20632713738743,41.42829784133725,44604,44363,46173,46751,48039,37023374.069104515,37049171.930179596,37953263.85678355,36077545.99429449,37012632.40547053,0,0.2740441040403966,1,1,1,0,8.809861775413857,15.133505598621877,25.73725520486362,195.9526914979347
2015,0,2.39261888583493,12.182007890204423,20.199037305464802,46.99388426909248,0,86.9641939423743,475.2438953787272,857.4033668002681,1996.5488123022687,0,9.15271636484835,35.471561040543286,39.98267395732819,41.26799377512644,44801,45005,44323,46635,46266,37241039.3269755,37610840.05684662,37172024.5284551,36940595.126579285,37240341.951927185,0,0.310162058853118,1,1,1,0,9.442175408426484,15.563941723502879,26.017240555452506,196.61107398678533
2016,0,2.7016827685874074,12.81609761882479,21.12982341753459,48.854892398985164,0,96.0160507905001,501.98505686693755,894.2840596118274,2074.342003276031,0,9.86983848077313,35.81959081135169,40.35974693199919,41.42424581505684,44764,44391,46971,44573,44684,37422348.08318075,37423784.92494202,39837697.32485962,35868857.886006676,36555889.50343832,0,0.3361831011011458,1,1,1,0,9.662860455861118,15.980475382003398,26.63412563667233,196.6823700287953
2017,0,3.9365711194774,13.387788593026565,21.107775575303872,48.70049336256962,0,139.22941667142632,534.6577807144558,894.6935779789308,2066.880527730912,0,13.308145058031473,36.56867979384168,40.34123853007669,41.4176191551841,43637,48422,37835,45118,44270,37368257.79562887,42111513.59108988,32873364.705403645,37362846.3438975,37124797.45359802,0,0.44359255841904577,1,1,1,0,10.429362880886426,16.16551246537396,27.116343490304708,193.46385391531254
2018,0,3.5130642775898693,13.408897537847446,21.3854920984659,50.42914115550674,0,127.10431556948812,533.6239669090028,915.6063069402907,2136.0951140731045,0,12.240431446152384,36.48990595004956,40.75569698213919,41.46885307258649,42340,42091,41361,43839,42749,37596283.10336304,37616987.43871053,37578896.185170494,37901883.19226583,37283278.92907206,0,0.40960173737038347,1,1,1,0,10.232085104953192,16.48332937012625,27.489183342347218,198.98411882316964
2019,0,4.129671876610842,14.119129429664772,21.928896555772845,51.360232195591664,0,150.92169081132255,568.6315283980468,940.4835483250952,2182.32766068758,0,14.122934982127331,36.9007957145829,40.71283474065139,41.567696773092024,40323,41404,38456,41450,40999,37585036.85964966,38742350.770614624,36563283.962127686,37470547.55031332,37562695.388280235,0,0.4601950233247986,1,1,1,0,11,17,28.75,197.615249633789
